Month,Day,Hour,Eat,Shower,Snack,Music,Hydrate,Caffeine,Interaction,Partner,Activity,Break,Temp,Weather,Main Activity,Energy (1-5),Happiness (1-5),Notes,
11,20,8-9a,Y,N,N,N,3,0,1,3,60,0,43,Mostly Cloudy,Morning Routine,3,3,,
11,20,9-10a,N,N,N,Y,0,0,2,2,5,5,43,Mostly Cloudy,LPS/IK,3,3,,
11,20,10-11a,N,N,N,N,2,1,0,0,0,0,44,Sunny,Class,2,3,,
11,20,11a-12p,N,N,N,N,0,0,0,0,0,0,47,Mostly Cloudy,Class,3,3,,
11,20,12-1p,Y,N,N,N,1,0,1,3,15,30,51,Mostly Cloudy,Lunch,4,4,,
11,20,1-2p,N,N,N,N,1,0,1,0,0,0,52,Mostly Cloudy,Class,3,3,,
11,20,2-3p,N,Y,N,N,0,0,2,5,30,60,54,Cloudy,Break,4,4,,
11,20,3-4p,N,N,N,N,0,0,0,0,0,0,54,Mostly Cloudy,LPS/IK,3.5,3,,
11,20,4-5p,N,N,N,N,2,0,0,5,45,45,53,Clear,Break,4,4,,
11,20,5-6p,N,N,Y,N,3,0,0,2,0,0,52,Clear,LPS/IK,4,3,,
11,20,6-7p,N,N,N,N,1,3,0,1,0,10,52,Clear,LPS/IK,2.5,3,,
11,20,7-8p,N,N,N,N,0,0,0,0,0,0,51,Clear,LPS/IK,3,2,Frustrated w HW,
11,20,8-9p,N,N,N,N,0,0,0,0,5,0,51,Clear,LPS/IK,3,2,,
11,20,9-10p,N,N,N,N,0,0,0,0,0,0,51,Clear,LPS/IK,3,2.5,Made progress,
11,20,10-11p,N,N,N,N,0,0,0,0,0,0,52,Clear,LPS/IK,3,2.5,"Frustrated w Photoshop, GIMP",
11,20,11-12a,N,N,N,N,0,0,0,4,15,60,52,Mostly Cloudy,Break,2.5,3.5,Resolved,
11,21,8-9a,N,N,N,N,0,0,0,0,0,60,47,Clear,Sleeping,1.5,2.5,Decided to sleep 1 hr more,
11,21,9-10a,N,N,N,N,0,0,0,1,5,60,43,Mostly Cloudy,Break,3,3,Did nothing,
11,21,10-11a,N,N,N,N,0,0,1,3,30,60,45,Sunny,Morning Routine,4,4,Lax Sunday Morning,
11,21,11a-12p,N,N,N,Y,0,2,0,3,5,15,49,Mostly Sunny,Theory,3.5,4,Excited for lunch?,
11,21,12-1p,N,N,N,N,0,0,0,3,0,60,50,Cloudy,Errands,3.5,3.5,,
11,21,1-2p,N,N,N,N,0,0,0,3,60,60,50,Cloudy,Errands,3,3,,
11,21,2-3p,N,N,N,N,0,0,0,3,0,60,51,Mostly Cloudy,Errands,3,2.5,,
11,21,3-4p,N,N,N,N,0,0,0,3,0,60,51,Cloudy,Errands,3,3,,
11,21,4-5p,N,N,N,Y,3,0,0,3,30,60,49,Cloudy,Errands,3,3,,
11,21,5-6p,N,N,N,N,0,0,0,3,0,60,50,Mostly Cloudy,Errands,3,3,,
11,21,6-7p,Y,N,Y,Y,2,0,1,2,20,30,49,Mostly Cloudy,Dinner,2.5,3,,
11,21,7-8p,N,N,N,N,3,0,0,1,10,10,50,Mostly Cloudy,Errands,2,3,,
11,21,8-9p,N,N,Y,N,2,0,2,2,5,15,51,Mostly Cloudy,Theory,2.5,3,,
11,21,9-10p,N,N,N,N,1,0,1,2,0,0,52,Cloudy,Technical,5,5,"Got google foobar, learned it was google hire",
11,21,10-11p,N,N,N,N,0,0,3,1,0,30,46,Cloudy,Technical,4,4,Google challenge,
11,21,11-12a,N,N,N,N,0,0,5,0,5,60,37,Rainy,Break,3.5,3,,
11,22,8-9a,N,N,N,N,0,0,0,0,0,60,32,Sunny,Sleeping,1,2.5,Decided to sleep 1:30 more,
11,22,9-10a,N,N,N,N,0,0,0,0,30,60,34,Sunny,Morning Routine,3,3,,
11,22,10-11a,Y,N,N,N,3,0,3,0,0,15,48,Mostly Cloudy,Theory,3,3,,
11,22,11a-12p,N,N,N,N,1,0,2,0,0,60,49,Cloudy,Break,3,3,,
11,22,12-1p,N,N,N,N,1,1,0,0,5,15,51,Cloudy,LPS/IK,3,3,,
11,22,1-2p,N,N,N,Y,1,1,0,0,0,30,51,Mostly Cloudy,LPS/IK,3,3,,
11,22,2-3p,N,N,N,Y,0,0,0,0,0,5,50,Partly Sunny,LPS/IK,3,3,,
11,22,3-4p,Y,N,Y,N,2,1,0,0,5,20,49,Mostly Sunny,LPS/IK,3.5,3.5,,
11,22,4-5p,N,N,Y,N,3,1,0,0,0,20,46,Mostly Cloudy,LPS/IK,2,3,,
11,22,5-6p,N,N,N,N,1,0,0,0,0,5,43,Cloudy,Technical,3,3,,
11,22,6-7p,N,Y,N,N,1,0,0,5,30,30,42,Cloudy,Class,4,3,,
11,22,7-8p,N,N,N,N,0,0,0,0,0,0,40,Cloudy,Class,2,3,,
11,22,8-9p,N,N,N,N,0,0,0,2,0,15,38,Mostly Cloudy,Class,3,3,,
11,22,9-10p,N,N,N,N,0,0,0,0,0,0,37,Clear,Class,3.5,3,,
11,22,10-11p,N,N,N,N,0,0,0,2,5,15,36,Clear,LPS/IK,3,3,,
11,22,11-12a,N,N,N,N,0,0,3,0,5,10,35,Clear,Theory,3,3,,
11,23,8-9a,N,N,N,N,0,0,0,0,5,30,34,Sunny,Life,2.5,3,Sleep 30 min,
11,23,9-10a,N,N,N,N,0,0,0,0,0,60,37,Sunny,Break,2.5,3,No idea what i did,
11,23,10-11a,N,N,N,Y,0,0,0,0,0,0,39,Sunny,Application,3.5,3,,
11,23,11a-12p,N,N,N,Y,0,0,0,1,0,5,40,Mostly Sunny,Project,3.5,4,,
11,23,12-1p,N,N,N,Y,0,0,0,0,0,0,41,Mostly Sunny,Project,3,3,,
11,23,1-2p,N,N,N,Y,0,0,0,0,0,15,41,Partly Sunny,Application,3,3,,
11,23,2-3p,Y,N,N,Y,0,0,0,0,20,20,42,Mostly Sunny,Lunch,3.5,3.5,,
11,23,3-4p,Y,N,Y,N,4,2,0,0,5,30,41,Mostly Sunny,Project,3,3,,
11,23,4-5p,N,N,N,N,0,0,0,1,0,0,40,Sunny,Project,3,3,,
11,23,5-6p,N,N,N,N,0,0,0,0,15,30,38,Clear,Project,3,3,,
11,23,6-7p,N,N,N,N,0,0,0,5,60,60,38,Clear,Dinner Routine,3.5,4,,
11,23,7-8p,N,N,Y,N,3,0,0,3,15,60,37,Clear,Break,3,3,,
11,23,8-9p,N,N,N,N,1,0,0,5,5,15,35,Clear,Project,3,4,,
11,23,9-10p,N,N,N,N,0,0,0,5,0,50,34,Clear,Break,2.5,3.5,,
11,23,10-11p,N,N,N,N,0,0,0,0,0,0,33,Clear,Project,2.5,3,,
11,23,11-12a,N,N,N,N,1,0,0,0,5,10,33,Clear,Theory,2.5,3,,
11,24,8-9a,N,N,N,N,0,0,0,0,0,60,36,Sunny,Sleeping,2,3,Oversleeping,
11,24,9-10a,N,N,N,N,0,0,0,0,0,30,36,Sunny,Break,3,3,,
11,24,10-11a,N,N,N,N,0,0,0,0,0,60,40,Sunny,Sleeping,,,Oversleeping,
11,24,11a-12p,N,N,N,N,0,0,0,0,0,60,46,Mostly Sunny,Sleeping,,,Oversleeping,
11,24,12-1p,N,N,N,N,0,0,0,0,0,60,46,Mostly Sunny,Sleeping,,,Oversleeping,
11,24,1-2p,N,N,N,N,0,0,0,0,0,60,46,Sunny,Sleeping,,,Oversleeping,
11,24,2-3p,N,N,N,N,0,0,2,0,0,0,47,Mostly Sunny,Technical,3.5,3,,
11,24,3-4p,N,N,N,N,0,0,0,0,0,5,58,Sunny,Technical,3,3,,
11,24,4-5p,N,N,N,N,0,0,0,5,5,25,54,Sunny,Technical,3,3.5,,
11,24,5-6p,N,N,N,N,0,0,0,3,15,20,52,Clear,Technical,3,4,,
11,24,6-7p,Y,N,N,N,0,0,0,5,15,60,50,Clear,Dinner Routine,3,3,,
11,24,7-8p,N,N,Y,N,2,0,0,5,5,30,48,Clear,Technical,3.5,3,,
11,24,8-9p,N,N,N,N,0,0,5,5,5,60,48,Mostly Cloudy,Gaming,3.5,4,,
11,24,9-10p,Y,N,N,N,2,0,0,2,5,30,48,Cloudy,Gaming,3,4,,
11,24,10-11p,Y,N,N,N,2,0,5,0,5,35,47,Cloudy,Project,3,3,,
11,24,11-12a,N,N,N,N,0,0,5,0,0,60,47,Cloudy,Gaming,2.5,3,,
11,25,8-9a,N,N,N,N,0,0,0,0,0,80,43,Clear,Sleeping,,,,
11,25,9-10a,N,N,N,N,0,0,0,1,0,40,47,Sunny,Sleeping,3,4,,
11,25,10-11a,N,N,N,N,0,0,0,0,0,0,47,Sunny,Technical,3,3,,
11,25,11a-12p,N,Y,N,N,0,0,0,5,60,0,54,Sunny,Morning Routine,3,2,Misunderstanding w honey,
11,25,12-1p,N,N,N,N,0,0,5,0,0,35,55,Sunny,Techincal,3,3.5,,
11,25,1-2p,N,N,N,N,0,0,5,0,0,60,55,Mostly Sunny,Gaming,3,3.5,,
11,25,2-3p,N,N,N,N,0,0,5,0,0,60,56,Mostly Sunny,Gaming,3,3.5,,
11,25,3-4p,N,N,N,N,0,0,5,0,0,20,57,Mostly Sunny,Techincal,3,3,,
11,25,4-5p,N,N,N,N,0,0,0,4,20,20,51,Sunny,Techincal,4,3.5,,
11,25,5-6p,N,N,N,N,0,2,0,3,10,10,52,Mostly Cloudy,Techincal,4,3.5,,
11,25,6-7p,N,N,N,N,0,2,0,0,0,30,50,Mostly Cloudy,Gaming,3,3,,
11,25,7-8p,N,N,N,N,0,0,0,0,0,0,49,Cloudy,Techincal,3,2,Frustrated at code,
11,25,8-9p,N,N,N,N,0,0,0,2,5,5,48,Cloudy,Techincal,3,3,,
11,25,9-10p,N,N,N,N,0,0,0,5,5,30,48,Cloudy,Techincal,3.5,3.5,,
11,25,10-11p,N,N,N,N,0,0,5,5,0,10,48,Rainy,Gaming,4,3.5,,
11,25,11-12a,N,N,N,N,0,0,5,0,0,40,47,Rainy,Gaming,4,3,,
11,26,8-9a,N,N,N,N,0,0,0,0,0,60,41,Sunny,Sleeping,,,Oversleeping,
11,26,9-10a,N,N,N,N,0,0,0,0,0,60,42,Mostly Sunny,Sleeping,,,Oversleeping,
11,26,10-11a,N,N,N,N,0,0,0,0,0,60,42,Mostly Sunny,Sleeping,,,Oversleeping,
11,26,11a-12p,N,N,N,N,0,0,0,0,0,60,43,Sunny,Sleeping,,,Oversleeping,Stayed up late
11,26,12-1p,N,N,N,N,0,0,1,0,0,30,42,Mostly Cloudy,Technical,3,3,,
11,26,1-2p,N,N,N,N,0,0,0,0,0,60,42,Mostly Cloudy,Break,3,3,,
11,26,2-3p,N,N,N,N,0,0,2,0,0,60,43,Mostly Cloudy,Break,3,3,,
11,26,3-4p,N,N,N,N,0,0,0,2,0,25,41,Mostly Cloudy,Technical,3,3,,
11,26,4-5p,N,N,N,N,0,0,1,1,15,40,38,Mostly Cloudy,Break,3,3.5,,
11,26,5-6p,Y,N,N,N,0,2,0,5,5,60,36,Clear,Dinner Routine,4,4,,
11,26,6-7p,N,N,N,N,0,2,3,5,5,60,35,Clear,Break,4,4,,
11,26,7-8p,N,N,N,N,0,0,5,4,0,15,36,Clear,Gaming,3.5,4,,
11,26,8-9p,N,N,N,N,0,0,5,2,0,60,36,Clear,Gaming,3.5,4,,
11,26,9-10p,N,N,N,N,0,0,5,0,0,60,37,Clear,Gaming,3.5,4,,
11,26,10-11p,N,N,N,N,0,0,5,0,0,60,37,Cloudy,Gaming,3.5,4,,
11,26,11-12a,N,N,N,N,0,0,5,0,0,60,37,Cloudy,Gaming,4,4,,
11,27,8-9a,N,N,N,N,0,0,0,0,0,60,28,Sunny,Sleeping,,,,
11,27,9-10a,N,N,N,N,0,0,0,0,0,60,37,Sunny,Sleeping,,,,
11,27,10-11a,N,N,N,N,0,0,0,0,0,60,42,Sunny,Sleeping,,,,
11,27,11a-12p,N,N,N,N,0,0,0,0,0,60,49,Mostly Sunny,Sleeping,,,,
11,27,12-1p,N,N,N,N,0,0,0,5,5,60,53,Mostly Sunny,Break,3,3,,
11,27,1-2p,N,N,N,N,0,0,5,5,0,60,54,Sunny,Gaming,3.5,3.5,,
11,27,2-3p,N,N,N,N,0,0,3,1,0,60,55,Sunny,Break,4,4,,
11,27,3-4p,N,N,N,N,0,0,3,1,0,60,48,Mostly Sunny,Break,4,4,,
11,27,4-5p,N,N,Y,N,0,0,4,1,5,45,40,Sunny,Break,4,4,,
11,27,5-6p,N,N,N,N,0,0,2,0,0,20,39,Sunny,Technical,4,4,,
11,27,6-7p,N,N,N,N,1,0,1,2,0,0,40,Clear,Technical,3,3,,
11,27,7-8p,N,N,N,N,0,0,2,1,5,0,39,Clear,Technical,3,3,,
11,27,8-9p,N,Y,N,N,0,0,0,5,30,60,38,Clear,Break,4,4,,
11,27,9-10p,N,N,N,N,1,0,0,4,15,60,38,Mostly Clear,Gaming,3,4,,
11,27,10-11p,N,N,N,N,0,0,2,0,0,60,40,Clear,Gaming,3,4,,
11,27,11-12a,N,N,N,N,1,0,4,0,0,60,41,Clear,Gaming,3,3,,
